Year,Donor Name,Purpose Name,Channel,x_transaction_value_usd_m_Sum
Initiative Sankofa d'Afrique de l'Ouest,2021.0,Reproductive health care,NGOs and Civil Society,0.118700228
Initiative Sankofa d'Afrique de l'Ouest,2022.0,Reproductive health care,NGOs and Civil Society,0.0045
International Campaign for Women's Right to Safe Abortion,2021.0,Reproductive health care,NGOs and Civil Society,0.1882517495
International Planned Parenthood Federation,2018.0,Family planning,NGOs and Civil Society,0.489629548329
International Planned Parenthood Federation,2018.0,Reproductive health care,NGOs and Civil Society,1.7878867522604998
International Planned Parenthood Federation,2019.0,Family planning,NGOs and Civil Society,0.6619439543554001
International Planned Parenthood Federation,2019.0,Reproductive health care,NGOs and Civil Society,2.2883592816552993
International Planned Parenthood Federation,2019.0,Reproductive health care,Universities and Research Institutes,0.14907419260000002
International Planned Parenthood Federation,2020.0,Family planning,NGOs and Civil Society,13.318426332546
International Planned Parenthood Federation,2020.0,Reproductive health care,NGOs and Civil Society,3.288697580700001
International Planned Parenthood Federation,2020.0,Reproductive health care,Universities and Research Institutes,0.6926342444610001
International Planned Parenthood Federation,2021.0,Family planning,NGOs and Civil Society,5.585726053213
International Planned Parenthood Federation,2021.0,Reproductive health care,NGOs and Civil Society,2.4679218094000004
International Planned Parenthood Federation,2021.0,Reproductive health care,Universities and Research Institutes,0.31576368810000005
International Rescue Committee Inc.,2018.0,Reproductive health care,Universities and Research Institutes,0.042251451
International Rescue Committee Inc.,2019.0,Family planning,NGOs and Civil Society,0.002782112
International Rescue Committee Inc.,2019.0,Reproductive health care,NGOs and Civil Society,1.5822760339999997
International Rescue Committee Inc.,2020.0,Family planning,NGOs and Civil Society,0.5020262910000001
International Rescue Committee Inc.,2020.0,Reproductive health care,NGOs and Civil Society,2.720365323
International Rescue Committee Inc.,2021.0,Reproductive health care,NGOs and Civil Society,1.5833033615
International Rescue Committee Inc.,2021.0,Reproductive health care,Universities and Research Institutes,0.0482266855
International Service,2018.0,Reproductive health care,NGOs and Civil Society,0.0019422694272000001
Invest International,2018.0,Reproductive health care,Other,0.190670012
Invest International,2019.0,Reproductive health care,Other,0.2869488966
Invest International,2020.0,Reproductive health care,Other,2.2546860644
Invest International,2021.0,Reproductive health care,Other,4.94956992964
Ipas,2018.0,Reproductive health care,NGOs and Civil Society,5.962
Ipas,2019.0,Reproductive health care,NGOs and Civil Society,5.6775
LAMB Health Care Foundation,2019.0,Reproductive health care,NGOs and Civil Society,0.0062785
MSI Reproductive Choices,2018.0,Reproductive health care,NGOs and Civil Society,8.066366865144001
MSI Reproductive Choices,2018.0,Reproductive health care,Other,0.003933931000000001
MSI Reproductive Choices,2018.0,Reproductive health care,Private Sector,28.215438171600002
MSI Reproductive Choices,2019.0,Reproductive health care,NGOs and Civil Society,12.2162570151
MSI Reproductive Choices,2019.0,Reproductive health care,Other,0.0053204009
MSI Reproductive Choices,2019.0,Reproductive health care,Private Sector,4.058925659446
MSI Reproductive Choices,2019.0,Reproductive health care,Universities and Research Institutes,0.09779266030000001
MSI Reproductive Choices,2020.0,Reproductive health care,NGOs and Civil Society,15.3421936557
MSI Reproductive Choices,2020.0,Reproductive health care,Private Sector,3.3092013879000004
MSI Reproductive Choices,2020.0,Reproductive health care,Universities and Research Institutes,0.17777710050000003
MSI Reproductive Choices,2021.0,Reproductive health care,NGOs and Civil Society,5.3488375362000005
MSI Reproductive Choices,2021.0,Reproductive health care,Private Sector,2.7439501044
MSI Reproductive Choices,2021.0,Reproductive health care,Universities and Research Institutes,0.1089431131
Mannion Daniels Ltd,2020.0,Reproductive health care,NGOs and Civil Society,0.83098729413
Mannion Daniels Ltd,2020.0,Reproductive health care,Private Sector,0.08902596600000001
Mannion Daniels Ltd,2021.0,Reproductive health care,NGOs and Civil Society,0.389018513241
Minority Rights Group,2020.0,Reproductive health care,NGOs and Civil Society,0.014070387300000002
Netherlands Enterprise Agency,2019.0,Reproductive health care,Other,0.0302679215
New Zealand Ministry of Foreign Affairs and Trade,2018.0,Family planning,NGOs and Civil Society,1.3429523646
New Zealand Ministry of Foreign Affairs and Trade,2018.0,Family planning,Other,0.0
New Zealand Ministry of Foreign Affairs and Trade,2018.0,Reproductive health care,Multilateral,4.731279520967999
New Zealand Ministry of Foreign Affairs and Trade,2018.0,Reproductive health care,NGOs and Civil Society,0.8727033719249999
New Zealand Ministry of Foreign Affairs and Trade,2018.0,Reproductive health care,Other,0.0
New Zealand Ministry of Foreign Affairs and Trade,2019.0,Family planning,Multilateral,1.18674
New Zealand Ministry of Foreign Affairs and Trade,2019.0,Family planning,NGOs and Civil Society,1.1116421578
New Zealand Ministry of Foreign Affairs and Trade,2019.0,Reproductive health care,Multilateral,2.7457308000000005
New Zealand Ministry of Foreign Affairs and Trade,2019.0,Reproductive health care,NGOs and Civil Society,1.3508253193600002
New Zealand Ministry of Foreign Affairs and Trade,2020.0,Family planning,Multilateral,1.17
New Zealand Ministry of Foreign Affairs and Trade,2020.0,Family planning,NGOs and Civil Society,1.23161520508
New Zealand Ministry of Foreign Affairs and Trade,2020.0,Reproductive health care,Multilateral,3.3955335172199996
New Zealand Ministry of Foreign Affairs and Trade,2020.0,Reproductive health care,NGOs and Civil Society,1.4756922315199998
New Zealand Ministry of Foreign Affairs and Trade,2021.0,Family planning,Multilateral,1.27494
New Zealand Ministry of Foreign Affairs and Trade,2021.0,Family planning,NGOs and Civil Society,1.00069921878
New Zealand Ministry of Foreign Affairs and Trade,2021.0,Family planning,Other,0.013371761868749998
New Zealand Ministry of Foreign Affairs and Trade,2021.0,Reproductive health care,Multilateral,2.30049
New Zealand Ministry of Foreign Affairs and Trade,2021.0,Reproductive health care,NGOs and Civil Society,0.8333900346
New Zealand Ministry of Foreign Affairs and Trade,2021.0,Reproductive health care,Other,0.013371761868749998
PROTECTING FAMILIES AGAINST HIV/AIDS (PREFA),2018.0,Reproductive health care,NGOs and Civil Society,0.601970415496
Palladium,2018.0,Family planning,Private Sector,6.929141908
Plan International Netherlands,2018.0,Reproductive health care,NGOs and Civil Society,2.5994893922399998
Plan International Netherlands,2019.0,Reproductive health care,NGOs and Civil Society,2.312191846475
Plan International Netherlands,2020.0,Family planning,NGOs and Civil Society,0.005698
Plan International Netherlands,2020.0,Reproductive health care,NGOs and Civil Society,1.3702479801779999
Plan International Netherlands,2021.0,Family planning,NGOs and Civil Society,0.02663758636
Plan International Netherlands,2021.0,Reproductive health care,NGOs and Civil Society,0.603200976728
Rutgers,2018.0,Reproductive health care,NGOs and Civil Society,5.470134677620001
Rutgers,2019.0,Reproductive health care,NGOs and Civil Society,3.7339018362800003
Stichting Vluchteling,2020.0,Reproductive health care,NGOs and Civil Society,0.267357271104
Stichting Vluchteling,2021.0,Reproductive health care,NGOs and Civil Society,0.20965751373
UHAI EASHRI,2021.0,Reproductive health care,NGOs and Civil Society,0.11164470491699999
World Health Organization,2019.0,Reproductive health care,Multilateral,5.0495735999999996
World Health Organization,2020.0,Reproductive health care,Multilateral,44.464863031
World Health Organization,2020.0,Reproductive health care,NGOs and Civil Society,0.0130809
World Health Organization,2020.0,Reproductive health care,Universities and Research Institutes,0.11229804700000001
World Health Organization,2021.0,Reproductive health care,Multilateral,70.93313433800002
World Health Organization,2021.0,Reproductive health care,NGOs and Civil Society,0.11280950800000002
World Health Organization,2021.0,Reproductive health care,Universities and Research Institutes,0.011124113
Y Care International,2018.0,Reproductive health care,NGOs and Civil Society,0.10697649573280002
Y Care International,2019.0,Reproductive health care,Other,0.0080610529088
dance4life,2018.0,Family planning,NGOs and Civil Society,0.08413161398999999
dance4life,2018.0,Reproductive health care,NGOs and Civil Society,0.08413161398999999
dance4life,2019.0,Family planning,NGOs and Civil Society,0.0578645098185
dance4life,2019.0,Reproductive health care,NGOs and Civil Society,0.0578645098185
dance4life,2020.0,Family planning,NGOs and Civil Society,0.0484268278725
dance4life,2020.0,Reproductive health care,NGOs and Civil Society,0.0484268278725
dance4life,2021.0,Family planning,NGOs and Civil Society,0.006462155295000001
dance4life,2021.0,Reproductive health care,NGOs and Civil Society,0.006462155295000001
