Year,Donor.Name,variable,value
2011,Belgium,RMNCH (total),77.54846697
2012,Belgium,RMNCH (total),70.1384009
2013,Belgium,RMNCH (total),69.37437495
2014,Belgium,RMNCH (total),72.45593508
2015,Belgium,RMNCH (total),64.51509573
2016,Belgium,RMNCH (total),69.50194464
2017,Belgium,RMNCH (total),70.44373845
2018,Belgium,RMNCH (total),62.00197986
2019,Belgium,RMNCH (total),64.58776242
2020,Belgium,RMNCH (total),68.73593933
2021,Belgium,RMNCH (total),66.75067183
2017,Bulgaria,RMNCH (total),0.14343846
2019,Bulgaria,RMNCH (total),0.1515665
2020,Bulgaria,RMNCH (total),0.262634436
2021,Bulgaria,RMNCH (total),0.3316
2011,Canada,RMNCH (total),347.2862372
2012,Canada,RMNCH (total),398.1325437
2013,Canada,RMNCH (total),435.271821
2014,Canada,RMNCH (total),392.5996318
2015,Canada,RMNCH (total),332.4067265
2016,Canada,RMNCH (total),326.1910796
2017,Canada,RMNCH (total),410.6210191
2018,Canada,RMNCH (total),449.9894503
2019,Canada,RMNCH (total),397.0558294
2020,Canada,RMNCH (total),363.3459837
2021,Canada,RMNCH (total),430.6086327
2015,Caribbean Development Bank,RMNCH (total),0
2016,Caribbean Development Bank,RMNCH (total),0
2017,Caribbean Development Bank,RMNCH (total),0
2018,Caribbean Development Bank,RMNCH (total),0
2019,Caribbean Development Bank,RMNCH (total),0
2020,Caribbean Development Bank,RMNCH (total),0
2021,Caribbean Development Bank,RMNCH (total),0
2020,Central American Bank for Economic Integration,RMNCH (total),0
2021,Central American Bank for Economic Integration,RMNCH (total),9.0430948
2017,Central Emergency Response Fund,RMNCH (total),16.92449559
2018,Central Emergency Response Fund,RMNCH (total),19.34673185
2019,Central Emergency Response Fund,RMNCH (total),21.15807236
2020,Central Emergency Response Fund,RMNCH (total),31.42174376
2021,Central Emergency Response Fund,RMNCH (total),19.80156693
2012,Climate Investment Funds,RMNCH (total),0
2013,Climate Investment Funds,RMNCH (total),0
2014,Climate Investment Funds,RMNCH (total),0.0191103
2015,Climate Investment Funds,RMNCH (total),0.0208089
2016,Climate Investment Funds,RMNCH (total),0
2017,Climate Investment Funds,RMNCH (total),0.236231175
2018,Climate Investment Funds,RMNCH (total),0
2019,Climate Investment Funds,RMNCH (total),0.01343865
2020,Climate Investment Funds,RMNCH (total),0
2021,Climate Investment Funds,RMNCH (total),0
2011,Council of Europe Development Bank,RMNCH (total),2.92681231
2012,Council of Europe Development Bank,RMNCH (total),3.792477489
2013,Council of Europe Development Bank,RMNCH (total),5.17670804
2014,Council of Europe Development Bank,RMNCH (total),4.11666287
2015,Council of Europe Development Bank,RMNCH (total),1.396110935
2016,Council of Europe Development Bank,RMNCH (total),2.948184568
2017,Council of Europe Development Bank,RMNCH (total),1.400751642
2018,Council of Europe Development Bank,RMNCH (total),0.095646818
2019,Council of Europe Development Bank,RMNCH (total),1.72046815
2020,Council of Europe Development Bank,RMNCH (total),1.370714377
2021,Council of Europe Development Bank,RMNCH (total),3.437215597
2017,Croatia,RMNCH (total),3.118887124
2018,Croatia,RMNCH (total),3.194882724
2019,Croatia,RMNCH (total),3.167039144
2020,Croatia,RMNCH (total),0.88065883
2021,Croatia,RMNCH (total),0.155875494
2018,Cyprus,RMNCH (total),0.13394766
2019,Cyprus,RMNCH (total),0.07251464
2020,Cyprus,RMNCH (total),0.103631
2021,Cyprus,RMNCH (total),1.032356016
2011,Czech Republic,RMNCH (total),1.75370286
2012,Czech Republic,RMNCH (total),1.405196026
2013,Czech Republic,RMNCH (total),1.637242244
2014,Czech Republic,RMNCH (total),2.464034647
2015,Czech Republic,RMNCH (total),2.289954107
2016,Czech Republic,RMNCH (total),2.417810261
2017,Czech Republic,RMNCH (total),3.194679451
2018,Czech Republic,RMNCH (total),1.539584892
2019,Czech Republic,RMNCH (total),2.567316016
2020,Czech Republic,RMNCH (total),1.859940708
2021,Czech Republic,RMNCH (total),4.279881362
2011,Denmark,RMNCH (total),89.37290784
2012,Denmark,RMNCH (total),70.56295419
2013,Denmark,RMNCH (total),72.87164409
2014,Denmark,RMNCH (total),83.96310233
2015,Denmark,RMNCH (total),80.11671616
2016,Denmark,RMNCH (total),59.25521287
2017,Denmark,RMNCH (total),103.2514188
2018,Denmark,RMNCH (total),102.7744877
2019,Denmark,RMNCH (total),101.0023926
2020,Denmark,RMNCH (total),70.07996021
2021,Denmark,RMNCH (total),80.01997919
2017,Development Bank of Latin America,RMNCH (total),0
2021,Development Bank of Latin America,RMNCH (total),0
2013,Estonia,RMNCH (total),0.254328626
2014,Estonia,RMNCH (total),0.325758032
2015,Estonia,RMNCH (total),0.356934529
2016,Estonia,RMNCH (total),0.378550702
2017,Estonia,RMNCH (total),0.369431358
2018,Estonia,RMNCH (total),0.344035443
2019,Estonia,RMNCH (total),0.321359612
2020,Estonia,RMNCH (total),0.445172312
2021,Estonia,RMNCH (total),0.422414046
2011,EU Institutions,RMNCH (total),395.3026741
2012,EU Institutions,RMNCH (total),400.9398285
2013,EU Institutions,RMNCH (total),430.3281712
2014,EU Institutions,RMNCH (total),510.0631906
2015,EU Institutions,RMNCH (total),469.223173
2016,EU Institutions,RMNCH (total),583.7379842
2017,EU Institutions,RMNCH (total),619.0306882
2018,EU Institutions,RMNCH (total),393.4784711
2019,EU Institutions,RMNCH (total),474.2130412
2020,EU Institutions,RMNCH (total),557.0216401
2021,EU Institutions,RMNCH (total),698.4638397
2020,Eurasian Fund for Stabilization and Development,RMNCH (total),1.477429679
2021,Eurasian Fund for Stabilization and Development,RMNCH (total),1.1611724
2011,Finland,RMNCH (total),24.88110708
2012,Finland,RMNCH (total),26.59068284
2013,Finland,RMNCH (total),21.96999917
2014,Finland,RMNCH (total),33.32168509
2015,Finland,RMNCH (total),20.0734965
2016,Finland,RMNCH (total),16.05640079
2017,Finland,RMNCH (total),19.75346754
2018,Finland,RMNCH (total),16.92976755
2019,Finland,RMNCH (total),18.16580625
2020,Finland,RMNCH (total),27.77326035
2021,Finland,RMNCH (total),26.06490133
2013,Food and Agriculture Organisation,RMNCH (total),23.62333812
2017,Food and Agriculture Organisation,RMNCH (total),57.63427939
2018,Food and Agriculture Organisation,RMNCH (total),16.08457359
2019,Food and Agriculture Organisation,RMNCH (total),19.92896489
2020,Food and Agriculture Organisation,RMNCH (total),17.41073683
2021,Food and Agriculture Organisation,RMNCH (total),17.18908664
2011,France,RMNCH (total),107.9467417
2012,France,RMNCH (total),118.3386166
2013,France,RMNCH (total),155.7557725
2014,France,RMNCH (total),272.1596773
2015,France,RMNCH (total),124.9728742
2016,France,RMNCH (total),178.3830107
2017,France,RMNCH (total),130.3041805
2018,France,RMNCH (total),131.3355287
2019,France,RMNCH (total),201.2606341
2020,France,RMNCH (total),260.7036011
2021,France,RMNCH (total),219.6449957
2011,Germany,RMNCH (total),240.1789732
2012,Germany,RMNCH (total),282.8331054
2013,Germany,RMNCH (total),337.190869
2014,Germany,RMNCH (total),363.1296643
2015,Germany,RMNCH (total),413.1334272
2016,Germany,RMNCH (total),488.5301887
2017,Germany,RMNCH (total),530.2902287
2018,Germany,RMNCH (total),537.3706568
2019,Germany,RMNCH (total),548.4726648
2020,Germany,RMNCH (total),749.1838875
2021,Germany,RMNCH (total),750.1487344
2011,Global Alliance for Vaccines and Immunization,RMNCH (total),752.0127324
2012,Global Alliance for Vaccines and Immunization,RMNCH (total),1004.042814
2013,Global Alliance for Vaccines and Immunization,RMNCH (total),1438.04391
2014,Global Alliance for Vaccines and Immunization,RMNCH (total),1313.969471
2015,Global Alliance for Vaccines and Immunization,RMNCH (total),1779.763427
2016,Global Alliance for Vaccines and Immunization,RMNCH (total),1390.315847
2017,Global Alliance for Vaccines and Immunization,RMNCH (total),1711.794473
2018,Global Alliance for Vaccines and Immunization,RMNCH (total),1530.080398
2019,Global Alliance for Vaccines and Immunization,RMNCH (total),2073.428212
2020,Global Alliance for Vaccines and Immunization,RMNCH (total),1928.732327
2021,Global Alliance for Vaccines and Immunization,RMNCH (total),1482.43483
2011,Global Environment Facility,RMNCH (total),0
2012,Global Environment Facility,RMNCH (total),0
2013,Global Environment Facility,RMNCH (total),0.392136215
2014,Global Environment Facility,RMNCH (total),0.368059835
2015,Global Environment Facility,RMNCH (total),0.40882032
2016,Global Environment Facility,RMNCH (total),0.41152065
2017,Global Environment Facility,RMNCH (total),0.926300191
2018,Global Environment Facility,RMNCH (total),0.941465296
2019,Global Environment Facility,RMNCH (total),0.337954642
2020,Global Environment Facility,RMNCH (total),0.445064532
2021,Global Environment Facility,RMNCH (total),1.525433767
2011,Global Fund,RMNCH (total),1086.140931
2012,Global Fund,RMNCH (total),1465.566153
2013,Global Fund,RMNCH (total),1634.209542
2014,Global Fund,RMNCH (total),1238.197872
2015,Global Fund,RMNCH (total),1504.95931
2016,Global Fund,RMNCH (total),1703.437969
2017,Global Fund,RMNCH (total),1895.853944
2018,Global Fund,RMNCH (total),1437.95881
2019,Global Fund,RMNCH (total),1595.30013
2020,Global Fund,RMNCH (total),1924.333533
2021,Global Fund,RMNCH (total),2249.72077
2013,Global Green Growth Institute,RMNCH (total),0
2014,Global Green Growth Institute,RMNCH (total),0
2017,Global Green Growth Institute,RMNCH (total),0
2018,Global Green Growth Institute,RMNCH (total),0
2019,Global Green Growth Institute,RMNCH (total),0
2020,Global Green Growth Institute,RMNCH (total),0
2021,Global Green Growth Institute,RMNCH (total),0
2011,Greece,RMNCH (total),0.936672176
2012,Greece,RMNCH (total),0.80085174
2013,Greece,RMNCH (total),0.16183282
2014,Greece,RMNCH (total),0.185500572
2015,Greece,RMNCH (total),0.09415788
2016,Greece,RMNCH (total),0.420980696
2017,Greece,RMNCH (total),0.635431284
2018,Greece,RMNCH (total),0.298888772
2019,Greece,RMNCH (total),0.203030196
2020,Greece,RMNCH (total),0.205546427
2021,Greece,RMNCH (total),0.221056696
2015,Green Climate Fund,RMNCH (total),0
2016,Green Climate Fund,RMNCH (total),0
2017,Green Climate Fund,RMNCH (total),0.19257522
2018,Green Climate Fund,RMNCH (total),0.45088947
2019,Green Climate Fund,RMNCH (total),0
2020,Green Climate Fund,RMNCH (total),0.64292505
2021,Green Climate Fund,RMNCH (total),0.0552936
2014,Hungary,RMNCH (total),0.549436155
2015,Hungary,RMNCH (total),1.541475178
2016,Hungary,RMNCH (total),0.217089611
2017,Hungary,RMNCH (total),0.276207152
2018,Hungary,RMNCH (total),3.592794076
2019,Hungary,RMNCH (total),5.399656114
2020,Hungary,RMNCH (total),5.059481256
2021,Hungary,RMNCH (total),5.877105407
2011,Iceland,RMNCH (total),1.30961452
2012,Iceland,RMNCH (total),1.4297714
2013,Iceland,RMNCH (total),2.158270953
2014,Iceland,RMNCH (total),1.681685806
2015,Iceland,RMNCH (total),1.402901938
2016,Iceland,RMNCH (total),1.611632819
2017,Iceland,RMNCH (total),0.615301046
2018,Iceland,RMNCH (total),1.903930584
2019,Iceland,RMNCH (total),3.757367149
2020,Iceland,RMNCH (total),3.184414112
2021,Iceland,RMNCH (total),4.727850346
2011,IFAD,RMNCH (total),0
2012,IFAD,RMNCH (total),0
2013,IFAD,RMNCH (total),0
2014,IFAD,RMNCH (total),0
2015,IFAD,RMNCH (total),0
2016,IFAD,RMNCH (total),0
2017,IFAD,RMNCH (total),0
2018,IFAD,RMNCH (total),0
2019,IFAD,RMNCH (total),0
2020,IFAD,RMNCH (total),0
2021,IFAD,RMNCH (total),0
2011,IMF (Concessional Trust Funds),RMNCH (total),39.71770356
2012,IMF (Concessional Trust Funds),RMNCH (total),35.15148126
2013,IMF (Concessional Trust Funds),RMNCH (total),25.12518165
2014,IMF (Concessional Trust Funds),RMNCH (total),16.97418106
2015,IMF (Concessional Trust Funds),RMNCH (total),35.58034386
2016,IMF (Concessional Trust Funds),RMNCH (total),30.74090339
2017,IMF (Concessional Trust Funds),RMNCH (total),31.16065726
2018,IMF (Concessional Trust Funds),RMNCH (total),27.44607414
2019,IMF (Concessional Trust Funds),RMNCH (total),40.5599863
2020,IMF (Concessional Trust Funds),RMNCH (total),229.5331305
2021,IMF (Concessional Trust Funds),RMNCH (total),105.0022284
2011,Inter-American Development Bank,RMNCH (total),32.98599644
2012,Inter-American Development Bank,RMNCH (total),12.85268166
2013,Inter-American Development Bank,RMNCH (total),16.81936316
2014,Inter-American Development Bank,RMNCH (total),29.78774052
2015,Inter-American Development Bank,RMNCH (total),41.64794828
2016,Inter-American Development Bank,RMNCH (total),38.83482104
2017,Inter-American Development Bank,RMNCH (total),64.06639734
2018,Inter-American Development Bank,RMNCH (total),28.46831505
2019,Inter-American Development Bank,RMNCH (total),48.19820699
2020,Inter-American Development Bank,RMNCH (total),33.97753805
2021,Inter-American Development Bank,RMNCH (total),44.56534646
2011,International Development Association,RMNCH (total),536.508057
2012,International Development Association,RMNCH (total),456.1688732
2013,International Development Association,RMNCH (total),546.7550781
2014,International Development Association,RMNCH (total),518.2631491
2015,International Development Association,RMNCH (total),676.0819904
2016,International Development Association,RMNCH (total),729.5185688
2017,International Development Association,RMNCH (total),932.8316138
2018,International Development Association,RMNCH (total),933.9296885
2019,International Development Association,RMNCH (total),955.041849
2020,International Development Association,RMNCH (total),1337.724546
2021,International Development Association,RMNCH (total),1255.300326
2012,International Labour Organisation,RMNCH (total),0.015211728
2013,International Labour Organisation,RMNCH (total),0.015093652
2017,International Labour Organisation,RMNCH (total),0.043143142
2020,International Labour Organisation,RMNCH (total),0.028641116
2021,International Labour Organisation,RMNCH (total),0.01852368
2011,Ireland,RMNCH (total),52.13239174
2012,Ireland,RMNCH (total),50.0475394
2013,Ireland,RMNCH (total),55.16248109
2014,Ireland,RMNCH (total),60.60960595
2015,Ireland,RMNCH (total),51.55335865
2016,Ireland,RMNCH (total),46.21223815
2017,Ireland,RMNCH (total),50.86540063
2018,Ireland,RMNCH (total),48.51579105
2019,Ireland,RMNCH (total),48.15093941
2020,Ireland,RMNCH (total),45.2403665
2021,Ireland,RMNCH (total),40.19773621
2011,Islamic Development Bank,RMNCH (total),0
2012,Islamic Development Bank,RMNCH (total),0
2013,Islamic Development Bank,RMNCH (total),0
2014,Islamic Development Bank,RMNCH (total),0
2015,Islamic Development Bank,RMNCH (total),0
2016,Islamic Development Bank,RMNCH (total),0
2017,Islamic Development Bank,RMNCH (total),0
2018,Islamic Development Bank,RMNCH (total),0
2019,Islamic Development Bank,RMNCH (total),15.46359839
2020,Islamic Development Bank,RMNCH (total),7.137354146
2021,Islamic Development Bank,RMNCH (total),0
2015,Israel,RMNCH (total),0.005798408
2011,Italy,RMNCH (total),40.56706705
2012,Italy,RMNCH (total),24.03428048
2013,Italy,RMNCH (total),28.09148822
2014,Italy,RMNCH (total),33.22571742
2015,Italy,RMNCH (total),44.62285238
2016,Italy,RMNCH (total),43.97428426
2017,Italy,RMNCH (total),71.13048624
2018,Italy,RMNCH (total),70.37102475
2019,Italy,RMNCH (total),65.68371944
2020,Italy,RMNCH (total),53.50448151
2021,Italy,RMNCH (total),60.24089264
2011,Japan,RMNCH (total),194.6445722
2012,Japan,RMNCH (total),239.0951408
2013,Japan,RMNCH (total),328.8324916
2014,Japan,RMNCH (total),275.1667763
2015,Japan,RMNCH (total),285.5209023
2016,Japan,RMNCH (total),292.0529966
2017,Japan,RMNCH (total),310.2942651
2018,Japan,RMNCH (total),225.0369544
2019,Japan,RMNCH (total),231.6023434
2020,Japan,RMNCH (total),243.0744105
2021,Japan,RMNCH (total),490.4092295
2013,Kazakhstan,RMNCH (total),0.020361182
2014,Kazakhstan,RMNCH (total),0.04660354
2015,Kazakhstan,RMNCH (total),0.700614003
2016,Kazakhstan,RMNCH (total),0.218798744
2017,Kazakhstan,RMNCH (total),0.006917812
2018,Kazakhstan,RMNCH (total),1.257877175
2019,Kazakhstan,RMNCH (total),0.878615319
2020,Kazakhstan,RMNCH (total),1.291807269
2021,Kazakhstan,RMNCH (total),0.423090736
2011,Korea,RMNCH (total),52.57741263
2012,Korea,RMNCH (total),68.98309338
2013,Korea,RMNCH (total),76.56760519
2014,Korea,RMNCH (total),85.34521696
2015,Korea,RMNCH (total),90.37978074
2016,Korea,RMNCH (total),107.3402253
2017,Korea,RMNCH (total),107.9763318
2018,Korea,RMNCH (total),98.84368921
2019,Korea,RMNCH (total),97.71989195
2020,Korea,RMNCH (total),92.21613559
2021,Korea,RMNCH (total),161.951913
2011,Kuwait,RMNCH (total),11.74237562
2012,Kuwait,RMNCH (total),4.675498947
2013,Kuwait,RMNCH (total),1.866184414
2014,Kuwait,RMNCH (total),3.742437887
2015,Kuwait,RMNCH (total),0.236481439
2016,Kuwait,RMNCH (total),4.213724
2017,Kuwait,RMNCH (total),2.034890888
2018,Kuwait,RMNCH (total),19.1445852
2019,Kuwait,RMNCH (total),17.316284
2020,Kuwait,RMNCH (total),14.12109498
2021,Kuwait,RMNCH (total),12.77386142
2016,Latvia,RMNCH (total),0.062731559
2017,Latvia,RMNCH (total),0.089813926
2018,Latvia,RMNCH (total),0.04339514
2019,Latvia,RMNCH (total),0.038051437
2020,Latvia,RMNCH (total),0.036696704
2021,Latvia,RMNCH (total),0.02325114
2021,Liechtenstein,RMNCH (total),0.377818846
2014,Lithuania,RMNCH (total),0.034562352
2015,Lithuania,RMNCH (total),0.378242708
2016,Lithuania,RMNCH (total),0.304082816
2017,Lithuania,RMNCH (total),0.064009928
2018,Lithuania,RMNCH (total),0.101089656
2019,Lithuania,RMNCH (total),0.080047209
2020,Lithuania,RMNCH (total),0.119043173
2021,Lithuania,RMNCH (total),0.081887041
2011,Luxembourg,RMNCH (total),23.53028486
2012,Luxembourg,RMNCH (total),22.68046883
2013,Luxembourg,RMNCH (total),26.00613232
2014,Luxembourg,RMNCH (total),24.99064323
2015,Luxembourg,RMNCH (total),23.17876577
2016,Luxembourg,RMNCH (total),28.00607941
2017,Luxembourg,RMNCH (total),23.55002915
2018,Luxembourg,RMNCH (total),28.29041937
2019,Luxembourg,RMNCH (total),40.22998935
2020,Luxembourg,RMNCH (total),21.02875833
2021,Luxembourg,RMNCH (total),25.00187407
2015,Malta,RMNCH (total),0.143150416
2016,Malta,RMNCH (total),0.5442656
2017,Malta,RMNCH (total),0.406655672
2018,Malta,RMNCH (total),0.445363088
2019,Malta,RMNCH (total),0.7339952
2021,Malta,RMNCH (total),0.05191522
2011,Netherlands,RMNCH (total),192.914569
2012,Netherlands,RMNCH (total),190.9424456
2013,Netherlands,RMNCH (total),212.447487
2014,Netherlands,RMNCH (total),228.3594389
2015,Netherlands,RMNCH (total),261.8883763
2016,Netherlands,RMNCH (total),334.2906556
2017,Netherlands,RMNCH (total),291.1474071
2018,Netherlands,RMNCH (total),372.9592757
2019,Netherlands,RMNCH (total),308.4922189
2020,Netherlands,RMNCH (total),315.4169164
2021,Netherlands,RMNCH (total),325.0797088
2011,New Zealand,RMNCH (total),18.6425307
2012,New Zealand,RMNCH (total),17.33108107
2013,New Zealand,RMNCH (total),15.88057315
2014,New Zealand,RMNCH (total),14.06247061
2015,New Zealand,RMNCH (total),11.60520066
2016,New Zealand,RMNCH (total),10.3790989
2017,New Zealand,RMNCH (total),10.15828365
2018,New Zealand,RMNCH (total),12.96621899
2019,New Zealand,RMNCH (total),12.75647402
2020,New Zealand,RMNCH (total),12.98259132
2021,New Zealand,RMNCH (total),14.24166583
2011,Nordic Development Fund,RMNCH (total),0.000420675
2012,Nordic Development Fund,RMNCH (total),0.001819335
2013,Nordic Development Fund,RMNCH (total),0.00141216
2014,Nordic Development Fund,RMNCH (total),0.00942705
2015,Nordic Development Fund,RMNCH (total),0.195890655
2016,Nordic Development Fund,RMNCH (total),0.01398969
2017,Nordic Development Fund,RMNCH (total),0.00411255
2018,Nordic Development Fund,RMNCH (total),0
2019,Nordic Development Fund,RMNCH (total),0.0091443
2020,Nordic Development Fund,RMNCH (total),0.052864365
2021,Nordic Development Fund,RMNCH (total),0.70581765
2011,Norway,RMNCH (total),99.46112423
2012,Norway,RMNCH (total),104.7199049
2013,Norway,RMNCH (total),169.9512273
2014,Norway,RMNCH (total),176.6261494
2015,Norway,RMNCH (total),172.7688471
2016,Norway,RMNCH (total),127.7578947
2017,Norway,RMNCH (total),152.2290399
2018,Norway,RMNCH (total),159.418582
2019,Norway,RMNCH (total),159.8870696
2020,Norway,RMNCH (total),154.7993495
2021,Norway,RMNCH (total),141.6993142
2011,OPEC Fund for International Development,RMNCH (total),14.85587404
2012,OPEC Fund for International Development,RMNCH (total),17.50910392
2013,OPEC Fund for International Development,RMNCH (total),16.40542513
2014,OPEC Fund for International Development,RMNCH (total),17.48668848
2015,OPEC Fund for International Development,RMNCH (total),10.72881856
2016,OPEC Fund for International Development,RMNCH (total),7.983162311
2017,OPEC Fund for International Development,RMNCH (total),7.787069353
2018,OPEC Fund for International Development,RMNCH (total),11.74456522
2019,OPEC Fund for International Development,RMNCH (total),8.047279802
2020,OPEC Fund for International Development,RMNCH (total),20.1876537
2021,OPEC Fund for International Development,RMNCH (total),18.02998195
2013,Poland,RMNCH (total),1.252037786
2014,Poland,RMNCH (total),0.605991037
2015,Poland,RMNCH (total),1.024782872
2016,Poland,RMNCH (total),2.188305675
2017,Poland,RMNCH (total),2.843122266
2018,Poland,RMNCH (total),2.356392587
2019,Poland,RMNCH (total),6.461500711
2020,Poland,RMNCH (total),6.423655428
2021,Poland,RMNCH (total),1.831721302
2011,Portugal,RMNCH (total),7.000611097
2012,Portugal,RMNCH (total),6.246971595
2013,Portugal,RMNCH (total),7.260278746
2014,Portugal,RMNCH (total),8.16548527
2015,Portugal,RMNCH (total),10.93786529
2016,Portugal,RMNCH (total),6.397889051
2017,Portugal,RMNCH (total),3.052251772
2018,Portugal,RMNCH (total),4.463990907
2019,Portugal,RMNCH (total),6.229167085
2020,Portugal,RMNCH (total),4.455108349
2021,Portugal,RMNCH (total),2.998742281
2019,Qatar,RMNCH (total),11.05473663
2020,Qatar,RMNCH (total),22.68147627
2021,Qatar,RMNCH (total),27.84889586
2014,Romania,RMNCH (total),1.621492964
2015,Romania,RMNCH (total),0.056880249
2016,Romania,RMNCH (total),0.373580086
2017,Romania,RMNCH (total),0.297512122
2018,Romania,RMNCH (total),0.513293843
2019,Romania,RMNCH (total),0.507178241
2020,Romania,RMNCH (total),0.384388604
2021,Romania,RMNCH (total),0.272007358
2019,Russia,RMNCH (total),16.54786064
2020,Russia,RMNCH (total),28.37242311
2015,Saudi Arabia,RMNCH (total),59.42466717
2016,Saudi Arabia,RMNCH (total),79.16322573
2017,Saudi Arabia,RMNCH (total),61.25382276
2018,Saudi Arabia,RMNCH (total),123.0122393
2019,Saudi Arabia,RMNCH (total),99.20063901
2020,Saudi Arabia,RMNCH (total),85.52982631
2021,Saudi Arabia,RMNCH (total),159.7630397
2013,Slovak Republic,RMNCH (total),0.275559987
2014,Slovak Republic,RMNCH (total),0.264246378
2015,Slovak Republic,RMNCH (total),0.276265512
2016,Slovak Republic,RMNCH (total),0.40313743
2017,Slovak Republic,RMNCH (total),1.304113964
