donor_name,aid_type_di_name,year,purpose_name,purpose_code,usd_disbursement_deflated_Sum
Canada,"Core support to NGOs, PPPs and research institutes",2019,Reproductive health care,13020,0.647757236
Canada,"Core support to NGOs, PPPs and research institutes",2020,Reproductive health care,13020,0.818283564
Canada,"Core support to NGOs, PPPs and research institutes",2021,Family planning,13030,0.14608049399999998
Canada,"Core support to NGOs, PPPs and research institutes",2021,Reproductive health care,13020,0.25425002399999985
Canada,"Core support to NGOs, PPPs and research institutes",2022,Reproductive health care,13020,7.72817108
Canada,Project interventions,2017,Family planning,13030,11.197368476000001
Canada,Project interventions,2017,Reproductive health care,13020,33.429062624999986
Canada,Project interventions,2018,Family planning,13030,33.073568591
Canada,Project interventions,2018,Reproductive health care,13020,58.689063468000036
Canada,Project interventions,2019,Family planning,13030,24.01622542900001
Canada,Project interventions,2019,Reproductive health care,13020,53.388359115000036
Canada,Project interventions,2020,Family planning,13030,23.81002432899999
Canada,Project interventions,2020,Reproductive health care,13020,60.40273645699999
Canada,Project interventions,2021,Family planning,13030,26.618051508999987
Canada,Project interventions,2021,Reproductive health care,13020,48.01026937699997
Canada,Project interventions,2022,Family planning,13030,25.180021517000018
Canada,Project interventions,2022,Reproductive health care,13020,48.00633205199997
Canada,Specific-purpose programmes and funds managed by implementing partners,2017,Family planning,13030,17.646422086999998
Canada,Specific-purpose programmes and funds managed by implementing partners,2017,Reproductive health care,13020,17.811083625999995
Canada,Specific-purpose programmes and funds managed by implementing partners,2018,Family planning,13030,11.423626465999998
Canada,Specific-purpose programmes and funds managed by implementing partners,2018,Reproductive health care,13020,13.824874258999996
Canada,Specific-purpose programmes and funds managed by implementing partners,2019,Family planning,13030,13.341157976999996
Canada,Specific-purpose programmes and funds managed by implementing partners,2019,Reproductive health care,13020,20.756045233
Canada,Specific-purpose programmes and funds managed by implementing partners,2020,Family planning,13030,10.128939093
Canada,Specific-purpose programmes and funds managed by implementing partners,2020,Reproductive health care,13020,21.566412426999996
Canada,Specific-purpose programmes and funds managed by implementing partners,2021,Family planning,13030,21.196608432999994
Canada,Specific-purpose programmes and funds managed by implementing partners,2021,Reproductive health care,13020,29.510188295000003
Canada,Specific-purpose programmes and funds managed by implementing partners,2022,Family planning,13030,8.011572954
Canada,Specific-purpose programmes and funds managed by implementing partners,2022,Reproductive health care,13020,11.578868672
Canada,Technical assistance,2017,Family planning,13030,0.07463603699999999
Canada,Technical assistance,2017,Reproductive health care,13020,0.08343999999999989
Canada,Technical assistance,2018,Family planning,13030,0.45507237299999986
Canada,Technical assistance,2018,Reproductive health care,13020,0.026726874999999897
Canada,Technical assistance,2019,Family planning,13030,0.075583081
Canada,Technical assistance,2019,Reproductive health care,13020,
Canada,Technical assistance,2020,Family planning,13030,0.14744160899999997
Canada,Technical assistance,2020,Reproductive health care,13020,0.14744160899999997
Canada,Technical assistance,2021,Family planning,13030,0.14749584500000001
Canada,Technical assistance,2021,Reproductive health care,13020,0.6493624129999999
Canada,Technical assistance,2022,Family planning,13030,0.00516285
Canada,Technical assistance,2022,Reproductive health care,13020,0.08330545299999999
Caribbean Development Bank,Technical assistance,2019,Reproductive health care,13020,
COVID-19 Response and Recovery Multi-Partner Trust Fund,Project interventions,2022,Reproductive health care,13020,0.0
Croatia,Project interventions,2021,Family planning,13030,0.0
Czechia,Project interventions,2017,Reproductive health care,13020,0.37227660399999984
Czechia,Project interventions,2018,Reproductive health care,13020,0.31867650599999997
Czechia,Project interventions,2019,Reproductive health care,13020,0.048852753
Czechia,Project interventions,2020,Reproductive health care,13020,0.013054441999999998
Czechia,Project interventions,2021,Reproductive health care,13020,0.5994408459999999
Czechia,Project interventions,2022,Reproductive health care,13020,0.759859738
Czechia,Specific-purpose programmes and funds managed by implementing partners,2022,Family planning,13030,0.21403816099999998
Denmark,"Core support to NGOs, PPPs and research institutes",2017,Family planning,13030,0.821977317
Denmark,"Core support to NGOs, PPPs and research institutes",2017,Reproductive health care,13020,12.329663606999999
Denmark,"Core support to NGOs, PPPs and research institutes",2018,Family planning,13030,4.895209233
Denmark,"Core support to NGOs, PPPs and research institutes",2018,Reproductive health care,13020,1.4196112650000001
Denmark,"Core support to NGOs, PPPs and research institutes",2019,Family planning,13030,8.880664662
Denmark,"Core support to NGOs, PPPs and research institutes",2019,Reproductive health care,13020,4.036665843
Denmark,"Core support to NGOs, PPPs and research institutes",2020,Family planning,13030,15.581675124000002
Denmark,"Core support to NGOs, PPPs and research institutes",2021,Family planning,13030,18.377570358
Denmark,"Core support to NGOs, PPPs and research institutes",2021,Reproductive health care,13020,0.0
Denmark,"Core support to NGOs, PPPs and research institutes",2022,Family planning,13030,13.427212040999999
Denmark,"Core support to NGOs, PPPs and research institutes",2022,Reproductive health care,13020,0.006150681
Denmark,Project interventions,2017,Family planning,13030,0.001679472
Denmark,Project interventions,2017,Reproductive health care,13020,2.6508375809999998
Denmark,Project interventions,2018,Family planning,13030,0.006409727999999999
Denmark,Project interventions,2018,Reproductive health care,13020,7.242100901999999
Denmark,Project interventions,2019,Family planning,13030,0.74803914
Denmark,Project interventions,2019,Reproductive health care,13020,4.0010704740000005
Denmark,Project interventions,2020,Reproductive health care,13020,1.784684565
Denmark,Project interventions,2021,Family planning,13030,0.459439596
Denmark,Project interventions,2021,Reproductive health care,13020,0.153146853
Denmark,Project interventions,2022,Reproductive health care,13020,0.0
Denmark,Specific-purpose programmes and funds managed by implementing partners,2017,Family planning,13030,3.2879102309999997
Denmark,Specific-purpose programmes and funds managed by implementing partners,2017,Reproductive health care,13020,32.961301101000004
Denmark,Specific-purpose programmes and funds managed by implementing partners,2018,Reproductive health care,13020,31.900451634000003
Denmark,Specific-purpose programmes and funds managed by implementing partners,2019,Reproductive health care,13020,39.131436627
Denmark,Specific-purpose programmes and funds managed by implementing partners,2020,Family planning,13030,1.573906977
Denmark,Specific-purpose programmes and funds managed by implementing partners,2020,Reproductive health care,13020,0.44856347399999996
Denmark,Specific-purpose programmes and funds managed by implementing partners,2021,Family planning,13030,3.828659769
Denmark,Specific-purpose programmes and funds managed by implementing partners,2021,Reproductive health care,13020,21.417527349
Denmark,Specific-purpose programmes and funds managed by implementing partners,2022,Family planning,13030,0.706695624
Denmark,Specific-purpose programmes and funds managed by implementing partners,2022,Reproductive health care,13020,18.374079483
Denmark,Technical assistance,2020,Reproductive health care,13020,0.022951179
Denmark,Technical assistance,2021,Reproductive health care,13020,0.0
Denmark,Technical assistance,2022,Family planning,13030,0.016786053
Denmark,Technical assistance,2022,Reproductive health care,13020,0.14133951
Estonia,Project interventions,2020,Reproductive health care,13020,0.0076840960000000005
Estonia,Project interventions,2021,Reproductive health care,13020,0.174381056
Estonia,Project interventions,2022,Reproductive health care,13020,0.072557568
EU Institutions,Budget support,2019,Reproductive health care,13020,0.9146810400000001
EU Institutions,Budget support,2020,Reproductive health care,13020,1.68417141
EU Institutions,Budget support,2021,Reproductive health care,13020,1.46348985
EU Institutions,Budget support,2022,Reproductive health care,13020,1.6372715100000002
EU Institutions,Project interventions,2017,Family planning,13030,1.01225943
EU Institutions,Project interventions,2017,Reproductive health care,13020,10.52143596
EU Institutions,Project interventions,2018,Family planning,13030,3.8221828199999996
EU Institutions,Project interventions,2018,Reproductive health care,13020,5.783498880000002
EU Institutions,Project interventions,2019,Family planning,13030,2.10420312
EU Institutions,Project interventions,2019,Reproductive health care,13020,7.461949860000001
EU Institutions,Project interventions,2020,Family planning,13030,4.227068550000001
EU Institutions,Project interventions,2020,Reproductive health care,13020,18.77255499
EU Institutions,Project interventions,2021,Family planning,13030,1.5388021799999998
EU Institutions,Project interventions,2021,Reproductive health care,13020,6.391942080000001
EU Institutions,Project interventions,2022,Family planning,13030,0.7296259199999999
EU Institutions,Project interventions,2022,Reproductive health care,13020,9.632812590000002
EU Institutions,Specific-purpose programmes and funds managed by implementing partners,2017,Family planning,13030,20.071167929999998
EU Institutions,Specific-purpose programmes and funds managed by implementing partners,2017,Reproductive health care,13020,1.7813991900000001
EU Institutions,Specific-purpose programmes and funds managed by implementing partners,2018,Family planning,13030,0.0
EU Institutions,Specific-purpose programmes and funds managed by implementing partners,2018,Reproductive health care,13020,0.0
EU Institutions,Specific-purpose programmes and funds managed by implementing partners,2019,Reproductive health care,13020,0.47669754000000003
EU Institutions,Specific-purpose programmes and funds managed by implementing partners,2020,Reproductive health care,13020,0.0
EU Institutions,Specific-purpose programmes and funds managed by implementing partners,2022,Family planning,13030,23.66920773
EU Institutions,Specific-purpose programmes and funds managed by implementing partners,2022,Reproductive health care,13020,23.66920773
EU Institutions,Technical assistance,2018,Family planning,13030,0.09739611000000001
EU Institutions,Technical assistance,2018,Reproductive health care,13020,0.023840550000000002
EU Institutions,Technical assistance,2019,Reproductive health care,13020,0.00203484
Finland,"Core support to NGOs, PPPs and research institutes",2017,Reproductive health care,13020,3.003739786
Finland,"Core support to NGOs, PPPs and research institutes",2018,Family planning,13030,0.583063501
Finland,"Core support to NGOs, PPPs and research institutes",2018,Reproductive health care,13020,1.778636621
Finland,"Core support to NGOs, PPPs and research institutes",2019,Reproductive health care,13020,1.566711516
Finland,"Core support to NGOs, PPPs and research institutes",2020,Reproductive health care,13020,4.174119717999999
Finland,"Core support to NGOs, PPPs and research institutes",2021,Reproductive health care,13020,3.9031448959999993
Finland,"Core support to NGOs, PPPs and research institutes",2022,Reproductive health care,13020,3.68112309
Finland,Project interventions,2017,Family planning,13030,0.38645177299999994
Finland,Project interventions,2017,Reproductive health care,13020,1.587987482
Finland,Project interventions,2018,Family planning,13030,0.8035519889999999
Finland,Project interventions,2018,Reproductive health care,13020,1.9087894809999997
Finland,Project interventions,2019,Family planning,13030,1.1451999459999997
Finland,Project interventions,2019,Reproductive health care,13020,2.2059485840000006
Finland,Project interventions,2020,Family planning,13030,0.976622665
Finland,Project interventions,2020,Reproductive health care,13020,2.9230972549999996
Finland,Project interventions,2021,Family planning,13030,0.9936249550000001
Finland,Project interventions,2021,Reproductive health care,13020,1.0711282389999999
Finland,Project interventions,2022,Family planning,13030,1.521038254
Finland,Project interventions,2022,Reproductive health care,13020,4.091023501000001
Finland,Specific-purpose programmes and funds managed by implementing partners,2017,Reproductive health care,13020,2.915753171
Finland,Specific-purpose programmes and funds managed by implementing partners,2018,Family planning,13030,0.015657572
Finland,Specific-purpose programmes and funds managed by implementing partners,2018,Reproductive health care,13020,1.4291438469999997
Finland,Specific-purpose programmes and funds managed by implementing partners,2019,Family planning,13030,0.045695894
Finland,Specific-purpose programmes and funds managed by implementing partners,2019,Reproductive health care,13020,1.972896507
Finland,Specific-purpose programmes and funds managed by implementing partners,2020,Reproductive health care,13020,4.025452939
Finland,Specific-purpose programmes and funds managed by implementing partners,2021,Family planning,13030,0.074567725
Finland,Specific-purpose programmes and funds managed by implementing partners,2021,Reproductive health care,13020,3.234035474
Finland,Specific-purpose programmes and funds managed by implementing partners,2022,Reproductive health care,13020,3.565431135
France,Budget support,2020,Family planning,13030,3.2714718400000002
France,Budget support,2021,Family planning,13030,0.0
France,Budget support,2022,Family planning,13030,
France,Non-transfer,2018,Reproductive health care,13020,0.49703017
France,Project interventions,2017,Family planning,13030,9.61714663
France,Project interventions,2017,Reproductive health care,13020,17.42995709
France,Project interventions,2018,Family planning,13030,6.7495701000000015
France,Project interventions,2018,Reproductive health care,13020,16.308190079999996
France,Project interventions,2019,Family planning,13030,8.432841690000002
France,Project interventions,2019,Reproductive health care,13020,16.208070970000005
France,Project interventions,2020,Family planning,13030,22.05346142999999
France,Project interventions,2020,Reproductive health care,13020,14.673661730000001
France,Project interventions,2021,Family planning,13030,20.01308127
France,Project interventions,2021,Reproductive health care,13020,18.10210948
France,Project interventions,2022,Family planning,13030,12.18279335
France,Project interventions,2022,Reproductive health care,13020,13.292179810000004
France,Technical assistance,2017,Reproductive health care,13020,0.0057320900000000004
France,Technical assistance,2018,Family planning,13030,0.06311851
France,Technical assistance,2019,Family planning,13030,0.06724808999999991
Germany,Basket funds/pooled funding,2017,Reproductive health care,13020,0.56672788
Germany,Basket funds/pooled funding,2018,Reproductive health care,13020,0.18700171999999998
Germany,"Core support to NGOs, PPPs and research institutes",2017,Family planning,13030,0.48592924
Germany,"Core support to NGOs, PPPs and research institutes",2017,Reproductive health care,13020,9.65002966
Germany,"Core support to NGOs, PPPs and research institutes",2018,Family planning,13030,1.08410858
Germany,"Core support to NGOs, PPPs and research institutes",2018,Reproductive health care,13020,9.208511660000001
Germany,"Core support to NGOs, PPPs and research institutes",2019,Family planning,13030,2.76784128
Germany,"Core support to NGOs, PPPs and research institutes",2019,Reproductive health care,13020,1.1391107999999999
Germany,"Core support to NGOs, PPPs and research institutes",2020,Family planning,13030,2.6361491600000004
Germany,"Core support to NGOs, PPPs and research institutes",2020,Reproductive health care,13020,1.5324716599999997
Germany,"Core support to NGOs, PPPs and research institutes",2021,Family planning,13030,0.29874892
Germany,"Core support to NGOs, PPPs and research institutes",2021,Reproductive health care,13020,0.9852656999999999
Germany,"Core support to NGOs, PPPs and research institutes",2022,Family planning,13030,0.044394319999999994
Germany,"Core support to NGOs, PPPs and research institutes",2022,Reproductive health care,13020,0.4024515999999999
Germany,Project interventions,2017,Family planning,13030,17.10821432
Germany,Project interventions,2017,Reproductive health care,13020,86.27589027999997
Germany,Project interventions,2018,Family planning,13030,16.435470419999998
Germany,Project interventions,2018,Reproductive health care,13020,74.79370097999997
Germany,Project interventions,2019,Family planning,13030,18.45669602
Germany,Project interventions,2019,Reproductive health care,13020,68.18918295999997
Germany,Project interventions,2020,Family planning,13030,17.69008278
Germany,Project interventions,2020,Reproductive health care,13020,89.59949903999997
Germany,Project interventions,2021,Family planning,13030,10.68661184
Germany,Project interventions,2021,Reproductive health care,13020,81.10592505999998
Germany,Project interventions,2022,Family planning,13030,13.353637179999996
Germany,Project interventions,2022,Reproductive health care,13020,105.85948744
Germany,Specific-purpose programmes and funds managed by implementing partners,2017,Reproductive health care,13020,1.0934549999999998
Germany,Specific-purpose programmes and funds managed by implementing partners,2018,Reproductive health care,13020,1.6675270999999998
Germany,Specific-purpose programmes and funds managed by implementing partners,2019,Reproductive health care,13020,15.41498198
Germany,Specific-purpose programmes and funds managed by implementing partners,2020,Family planning,13030,2.33478798
Germany,Specific-purpose programmes and funds managed by implementing partners,2020,Reproductive health care,13020,19.47536556
Germany,Specific-purpose programmes and funds managed by implementing partners,2021,Family planning,13030,6.3919106999999995
Germany,Specific-purpose programmes and funds managed by implementing partners,2021,Reproductive health care,13020,31.793430119999996
Germany,Specific-purpose programmes and funds managed by implementing partners,2022,Family planning,13030,1.3672676
Germany,Specific-purpose programmes and funds managed by implementing partners,2022,Reproductive health care,13020,16.53635216
Germany,Technical assistance,2022,Reproductive health care,13020,0.0008140399999999999
Hungary,Project interventions,2019,Reproductive health care,13020,0.022376675000000002
Hungary,Technical assistance,2019,Reproductive health care,13020,0.000985125
Iceland,"Core support to NGOs, PPPs and research institutes",2021,Reproductive health care,13020,0.01512924
Iceland,"Core support to NGOs, PPPs and research institutes",2022,Family planning,13030,0.0094371
Iceland,"Core support to NGOs, PPPs and research institutes",2022,Reproductive health care,13020,0.031898892
Iceland,Project interventions,2019,Family planning,13030,0.242068836
Iceland,Project interventions,2019,Reproductive health care,13020,0.415049136
Iceland,Project interventions,2020,Family planning,13030,0.16154821199999989
Iceland,Project interventions,2020,Reproductive health care,13020,0.291178608
Iceland,Project interventions,2021,Family planning,13030,0.010018764
Iceland,Project interventions,2021,Reproductive health care,13020,0.036421728
Iceland,Project interventions,2022,Reproductive health care,13020,0.158257428
Iceland,Specific-purpose programmes and funds managed by implementing partners,2018,Reproductive health care,13020,0.17857483200000002
Iceland,Specific-purpose programmes and funds managed by implementing partners,2019,Reproductive health care,13020,0.5975482080000001
Iceland,Specific-purpose programmes and funds managed by implementing partners,2020,Reproductive health care,13020,0.239449356
Iceland,Specific-purpose programmes and funds managed by implementing partners,2021,Family planning,13030,0.070435128
Iceland,Specific-purpose programmes and funds managed by implementing partners,2021,Reproductive health care,13020,2.385592308
Iceland,Specific-purpose programmes and funds managed by implementing partners,2022,Reproductive health care,13020,1.9220250239999999
Iceland,Technical assistance,2020,Reproductive health care,13020,0.21505632
Iceland,Technical assistance,2021,Reproductive health care,13020,0.23740656
Iceland,Technical assistance,2022,Reproductive health care,13020,0.184406412
Inter-American Development Bank,Project interventions,2019,Reproductive health care,13020,
Inter-American Development Bank,Project interventions,2021,Family planning,13030,0.199195962
Inter-American Development Bank,Project interventions,2021,Reproductive health care,13020,0.220430574
Inter-American Development Bank,Project interventions,2022,Reproductive health care,13020,0.60293856
International Development Association,Budget support,2017,Reproductive health care,13020,0.0
International Development Association,Budget support,2018,Reproductive health care,13020,
International Development Association,Budget support,2019,Family planning,13030,18.565194648
International Development Association,Budget support,2019,Reproductive health care,13020,26.7227961
International Development Association,Budget support,2020,Reproductive health care,13020,1.5944796
International Development Association,Budget support,2021,Reproductive health care,13020,0.0
International Development Association,Budget support,2022,Reproductive health care,13020,0.0
International Development Association,Project interventions,2017,Family planning,13030,8.518375404
International Development Association,Project interventions,2017,Reproductive health care,13020,127.11632543400005
International Development Association,Project interventions,2018,Family planning,13030,53.737619796
International Development Association,Project interventions,2018,Reproductive health care,13020,127.760848362
International Development Association,Project interventions,2019,Family planning,13030,5.026772268
International Development Association,Project interventions,2019,Reproductive health care,13020,101.94418248
International Development Association,Project interventions,2020,Family planning,13030,12.145441685999998
International Development Association,Project interventions,2020,Reproductive health care,13020,146.75495183999996
International Development Association,Project interventions,2021,Family planning,13030,29.758046345999997
International Development Association,Project interventions,2021,Reproductive health care,13020,120.02581684800002
International Development Association,Project interventions,2022,Family planning,13030,11.950776264
International Development Association,Project interventions,2022,Reproductive health care,13020,106.12017536399996
Ireland,"Core support to NGOs, PPPs and research institutes",2017,Family planning,13030,0.014628759
Ireland,"Core support to NGOs, PPPs and research institutes",2017,Reproductive health care,13020,0.2965593549999999
Ireland,"Core support to NGOs, PPPs and research institutes",2018,Family planning,13030,0.014602355
Ireland,"Core support to NGOs, PPPs and research institutes",2018,Reproductive health care,13020,0.273956588
Ireland,"Core support to NGOs, PPPs and research institutes",2019,Reproductive health care,13020,0.150514116
Ireland,"Core support to NGOs, PPPs and research institutes",2020,Reproductive health care,13020,0.221232515
Ireland,"Core support to NGOs, PPPs and research institutes",2021,Reproductive health care,13020,0.249192465
Ireland,"Core support to NGOs, PPPs and research institutes",2022,Reproductive health care,13020,0.7389159400000002
Ireland,Project interventions,2017,Family planning,13030,0.069141703
Ireland,Project interventions,2017,Reproductive health care,13020,1.1518886449999999
Ireland,Project interventions,2018,Family planning,13030,1.1926111569999998
Ireland,Project interventions,2018,Reproductive health care,13020,0.210020245
Ireland,Project interventions,2019,Family planning,13030,0.029975140999999903
Ireland,Project interventions,2019,Reproductive health care,13020,2.817293598
Ireland,Project interventions,2020,Family planning,13030,0.039203339
Ireland,Project interventions,2020,Reproductive health care,13020,3.6693299319999997
Ireland,Project interventions,2021,Family planning,13030,0.025426109
Ireland,Project interventions,2021,Reproductive health care,13020,1.754397749
Ireland,Project interventions,2022,Family planning,13030,0.084007155
Ireland,Project interventions,2022,Reproductive health care,13020,1.1040644
Ireland,Specific-purpose programmes and funds managed by implementing partners,2017,Reproductive health care,13020,0.5792226619999999
Islamic Development Bank,Project interventions,2022,Reproductive health care,13020,
Islamic Development Bank,Technical assistance,2020,Family planning,13030,0.258840666
Islamic Development Bank,Technical assistance,2020,Reproductive health care,13020,0.14380069199999998
Italy,Basket funds/pooled funding,2019,Reproductive health care,13020,1.164561948
Italy,Basket funds/pooled funding,2020,Reproductive health care,13020,1.637241066
Italy,Basket funds/pooled funding,2021,Reproductive health care,13020,1.074763188
Italy,"Core support to NGOs, PPPs and research institutes",2017,Family planning,13030,0.0031000859999999997
Italy,"Core support to NGOs, PPPs and research institutes",2017,Reproductive health care,13020,0.616627026
Italy,"Core support to NGOs, PPPs and research institutes",2018,Family planning,13030,1.172397078
Italy,"Core support to NGOs, PPPs and research institutes",2018,Reproductive health care,13020,0.6146101799999999
